Ticker,MSE GARCH,QLIKE GARCH,MSE Mix,QLIKE Mix,QLIKE: mix better?,MSE: mix better?
AFLT,0.3772259204704197,0.24808227654808002,0.3803638469073552,0.2608282942097771,0,0
ALRS,0.4984886741735323,0.34750460148998413,0.47094776084342144,0.3078769111968992,1,1
BANE,0.6245473196836872,0.673259517104182,0.6603285323639914,0.7076451522404571,0,0
CBOM,0.466118397233433,0.35426935424014844,0.5122018322359472,0.3967714864279829,0,0
FESH,0.7914312789739458,0.7234394495032129,0.73402457620826,0.6346893578584257,1,1
GAZP,0.5670484218816995,0.4353542021243024,0.5292901330812234,0.30101345463651397,1,1
INGR,0.8888847250516365,0.6064996358587472,0.8361013923119603,0.5439106045833768,1,1
KAZT,1.5725091731025924,1.5823515502619614,1.3259758746148174,1.3488449406296663,1,1
KMAZ,1.5300386887112274,1.9796764492736447,1.208079761579674,1.567271192547737,1,1
LKOH,0.43895120544139987,0.30256541921790725,0.4431057105542698,0.31997312677597284,0,0
LVHK,1.0458940454508803,1.2229778925982009,1.6113311605069143,1.9752720202958542,0,0
MGTS,2.751444622023924,4.7373316517887565,2.7694134238562675,3.5319207968139508,1,0
MTSS,0.6920379608965688,0.5599110119820896,0.7494454506514058,0.5886462954772206,0,0
MVID,0.7947934621593703,0.3925547701095901,0.7650444674535141,0.3983675065206305,0,1
ROSN,0.3543030649824165,0.23985451470720598,0.32732351398256887,0.2168379648547718,1,1
SBER,0.4385090407609292,0.20171583919944844,0.43867031188295763,0.20907606009921023,0,0
UTAR,2.643766699895782,4.420474678606276,2.491080953440677,3.9683215125074436,1,1
VTBR,0.3675172598524303,0.2572369642387199,0.3452438279553298,0.2406198116978682,1,1
ZILL,1.2832880359134549,1.5044387322410553,1.3611848147204606,1.9381633116748274,0,0
